colony	meandp	Donor	CellType	Cell.type2	Tissue	Age	Project	Nmut	Nmut_adj_as	Nmut_indel	Nmut_adj_as_indel	Nmut_hsc_as	Nmut_hsc_as_indel	Telomere
10_D2	24.04381382	AX001	Treg	Treg	blood	63	1903	1347	1449.652451	46	56.13891655	1353.37684125586	51.5411801906058	4241.8
10_G7	25.27786687	AX001	Treg	Treg	blood	63	1903	1381	1457.472632	61	68.81837713	1385.27500925516	65.1908342126661	2847.3
11_B7	23.85525298	AX001	Treg	Treg	blood	63	1903	1384	1490.924515	66	76.50453441	1390.75308292972	71.7582551898219	2025.7
11_H4	25.33527988	AX001	Treg	Treg	blood	63	1903	1579	1654.326403	74	81.7134046	1583.19083361821	78.1308772799853	3514.7
2_H3	21.2775159	AX001	Treg	Treg	blood	63	1903	1732	1905.519087	62	77.81384271	1745.89449785894	71.0403664590936	2183.9
3_E2	18.97996522	AX001	Treg	Treg	blood	63	1903	1476	1723.975628	65	86.07207632	1500.93282104885	77.5243971658465	1953.6
6_G1	22.22969547	AX001	Treg	Treg	blood	63	1903	1959	2106.039514	91	104.7833489	1969.7606939078	98.756711481502	2919.6
7_F9	22.42752572	AX001	Treg	Treg	blood	63	1903	1487	1628.826608	68	81.37187779	1497.19034418034	75.500847694721	2233.2
9_D1	23.99619146	AX001	Treg	Treg	blood	63	1903	1948	2051.72433	94	104.2309756	1954.47035000385	99.5957275419405	1551.7
9_E5	19.91884444	AX001	Treg	Treg	blood	63	1903	1845	2060.612572	73	91.85997445	1864.71917588784	84.0308997498696	1926.4
9_H12	25.10213553	AX001	Treg	Treg	blood	63	1903	1588	1668.01939	73	81.14130537	1592.5395817412	77.3758956685217	3459.7
B1_C10	13.35022735	AX001	B Naive	Naive B	blood	63	1903	998	1512.462033	28	64.39933835	1093.27467327382	51.9371813094668	3036.7
B1_D8	11.22618231	AX001	B Naive	Naive B	blood	63	1903	838	1495.347796	29	72.22421968	993.696322094742	58.5924524202981	3721.5
B1_G7	11.98498998	AX001	B Memory	Memory B	blood	63	1903	1970	2573.027187	57	97.71371279	2100.70403679062	84.4724074390659	26331.8
B10_G7	9.804537928	AX001	B Memory	Memory B	blood	63	1903	1289	2059.060352	34	82.15553663	1504.85684155724	67.8892292651364	16289.4
B11_A7	9.50725655	AX001	B Naive	Naive B	blood	63	1903	732	1527.577232	17	66.2256492	963.084482090255	51.8445411126478	3350.8
B12_B4	7.442619134	AX001	B Naive	Naive B	blood	63	1903	446	1439.70882	5	62.0499736	816.606448562654	47.0729931255302	3940.9
B12_D10	19.96369553	AX001	B Naive	Naive B	blood	63	1903	1055	1269.136262	42	60.75653132	1074.49684798259	52.9620419068679	2741.4
B13_D9	17.4334922	AX001	B Naive	Naive B	blood	63	1903	1166	1473.859629	27	51.91753602	1202.35668180199	42.2149212457649	4083.2
B13_H6	8.17912289	AX001	B Memory	Memory B	blood	63	1903	877	1795.619971	14	68.17830217	1190.19613736925	53.3706440995816	7206.6
B14_A5	19.06098699	AX001	B Naive	Naive B	blood	63	1903	1035	1280.069838	32	52.87761573	1059.43781239437	44.3915065441134	3522.5
B15_A1	20.62567566	AX001	B Naive	Naive B	blood	63	1903	1247	1440.049669	36	53.25291809	1263.46563937097	45.9711318906919	3362.8
B15_B4	18.31107169	AX001	B Naive	Naive B	blood	63	1903	1188	1460.82193	52	74.70380708	1217.38681596653	65.6515531107139	3525.3
B15_B8	12.13172988	AX001	B Naive	Naive B	blood	63	1903	932	1524.958559	29	69.23766757	1058.34830983073	56.0755924703046	3522.6
B15_D9	9.363835225	AX001	B Naive	Naive B	blood	63	1903	719	1527.142831	17	66.74686534	957.806759500359	52.3127721175093	3664.8
B15_G10	17.49720528	AX001	B Memory	Memory B	blood	63	1903	3315	3620.218283	125	149.7539715	3350.80259677275	140.098072715029	26284.6
B15_G3	15.37379962	AX001	B Memory	Memory B	blood	63	1903	2213	2615.272788	66	96.45568238	2272.35967733812	85.295363413827	20509.1
B17_C9	9.617808388	AX001	B Naive	Naive B	blood	63	1903	733	1519.00552	19	67.8260934	958.301348675111	53.4869015041726	3317.1
B17_F2	12.20852786	AX001	B Memory	Memory B	blood	63	1903	1429	2016.74366	41	80.98972672	1553.12588717498	67.869576003973	3965
B18_C3	18.10723501	AX001	B Naive	Naive B	blood	63	1903	1054	1334.706611	34	57.210522	1084.88417051184	48.0059440550841	3457
B18_D1	18.23974327	AX001	B Naive	Naive B	blood	63	1903	1470	1745.564011	65	87.88061437	1499.90292431131	78.7749760494333	2559.5
B18_D10	13.14461671	AX001	B Naive	Naive B	blood	63	1903	930	1457.090415	29	66.03290631	1029.93407497234	53.4476852944401	3030.9
B20_A11	13.35387604	AX001	B Naive	Naive B	blood	63	1903	938	1452.240092	27	63.38814514	1033.19393052367	50.928189202739	3204.1
B20_C1	18.33599398	AX001	B Naive	Naive B	blood	63	1903	1175	1446.868149	33	55.64216006	1204.20845158485	46.6085785744298	3175.7
B20_F1	11.6542866	AX001	B Memory	Memory B	blood	63	1903	1488	2114.229689	47	88.79771005	1629.06907590803	75.3821772703699	10428.7
B20_G6	20.043303	AX001	B Memory	Memory B	blood	63	1903	1787	1998.531132	92	110.5734258	1806.10777469493	102.840372234472	4038.5
B3_B5	18.54783867	AX001	B Naive	Naive B	blood	63	1903	1162	1425.849524	36	58.12081695	1189.73236536691	49.2463703538782	3857.4
B3_D12	14.35496891	AX001	B Naive	Naive B	blood	63	1903	1015	1471.115049	32	65.38313575	1090.38764510349	53.5481357473987	3124.2
B3_D2	18.2463057	AX001	B Naive	Naive B	blood	63	1903	1095	1370.310949	38	60.86432348	1124.85508713703	51.7635934435487	2924.7
B4_F5	9.321286285	AX001	B Memory	Memory B	blood	63	1903	1812	2623.903083	27	76.90211787	2053.14651334905	62.4526123689763	8850.6
B5_C11	19.77228524	AX001	B Naive	Naive B	blood	63	1903	1128	1348.479832	47	66.19939021	1148.46164724328	58.2574533368746	3279.2
B5_C8	12.84152001	AX001	B Naive	Naive B	blood	63	1903	951	1497.153212	34	71.97721396	1058.21177140637	59.2141186472056	3929.3
B6_H2	11.70174216	AX001	B Memory	Memory B	blood	63	1903	1806	2428.856091	48	89.6412042	1945.53347101472	76.2502961595304	3745.5
B7_B7	11.05986111	AX001	B Naive	Naive B	blood	63	1903	864	1533.776154	22	65.78559471	1025.77375861113	52.0727787390712	3262.5
B7_E6	12.30818749	AX001	B Memory	Memory B	blood	63	1903	3950	4531.031805	119	158.6692058	4071.29907207169	145.60392155167	25408.6
B8_C3	19.60384259	AX001	B Naive	Naive B	blood	63	1903	1190	1416.156555	41	60.59215338	1211.3460582011	52.5207964018863	2996.6
B8_E11	14.5354783	AX001	B Memory	Memory B	blood	63	1903	1346	1792.199299	45	77.85501674	1418.27113574824	66.1368972988425	5090.2
B9_A6	15.528101	AX001	B Naive	Naive B	blood	63	1903	952	1346.555013	37	67.02347099	1009.23954961744	55.9683283004288	2954.4
B9_B10	8.021895616	AX001	B Naive	Naive B	blood	63	1903	556	1490.219963	11	65.78367751	880.659176305976	50.9355958821792	3595.4
B9_F4	8.812544197	AX001	B Memory	Memory B	blood	63	1903	1183	2041.037073	33	84.78072989	1453.9452395952	70.1581516906613	6823.1
BMH1_plate_20181119_A01	25.87435127	AX001	HSC	HSC	blood	63	1321	1108	1172.857954	40	46.7403999	1111.45176897886	43.5798160575173	2236.6
BMH1_plate_20181119_A02	15.40895562	AX001	HSC	HSC	blood	63	1321	992	1392.504593	28	58.3569531	1050.87007246114	47.2205325005666	1718.1
BMH1_plate_20181119_A03	22.90185892	AX001	HSC	HSC	blood	63	1321	1146	1275.712352	42	54.39954009	1154.92279520533	48.9019772996785	1832.7
BMH1_plate_20181119_A04	24.80502616	AX001	HSC	HSC	blood	63	1321	1058	1144.149629	41	49.6929012	1063.01162192049	45.6941425228941	1748
BMH1_plate_20181119_A05	17.18131905	AX001	HSC	HSC	blood	63	1321	922	1240.469182	33	58.56936045	960.630083571098	48.682683902405	1321.6
BMH1_plate_20181119_A06	19.4966684	AX001	HSC	HSC	blood	63	1321	1169	1398.815157	40	59.8435525	1190.92664860529	51.6900202737095	1930.2
BMH1_plate_20181119_B01	17.38871582	AX001	HSC	HSC	blood	63	1321	934	1243.72531	19	44.03275552	970.750903415585	34.2973601435201	1890.4
BMH1_plate_20181119_B02	16.8632801	AX001	HSC	HSC	blood	63	1321	1006	1338.210331	33	59.40164723	1047.68926645807	49.2848318853717	2131.4
BMH1_plate_20181119_B03	18.21009679	AX001	HSC	HSC	blood	63	1321	1058	1334.709056	41	63.95426035	1088.11990204224	54.8264597969812	1639.2
BMH1_plate_20181119_B04	19.37307857	AX001	HSC	HSC	blood	63	1321	1065	1299.079692	35	55.13490523	1087.61393345553	46.8867849087869	2170.3
BMH1_plate_20181119_B05	16.78456743	AX001	HSC	HSC	blood	63	1321	1104	1439.674528	29	55.60940861	1146.48111752789	45.4359956713154	2001.3
BMH1_plate_20181119_B06	21.08387991	AX001	HSC	HSC	blood	63	1321	1084	1263.197508	41	57.23710439	1098.61896641948	50.3123255289961	1887.6
BMH1_plate_20181119_C01	19.97782291	AX001	HSC	HSC	blood	63	1321	984	1197.672546	43	61.72399148	1003.4272890911	53.9403996969014	1492.6
BMH1_plate_20181119_C02	20.24883546	AX001	HSC	HSC	blood	63	1321	1085	1289.893803	39	57.10358477	1103.13517246769	49.529438980959	2159.9
BMH1_plate_20181119_C03	15.33375438	AX001	HSC	HSC	blood	63	1321	968	1372.293998	17	47.56832752	1027.92216545509	36.380833380264	2070.7
BMH1_plate_20181119_C04	20.04389374	AX001	HSC	HSC	blood	63	1321	990	1201.511864	33	51.57206877	1009.10491244319	43.8394715611647	1650.7
BMH1_plate_20181119_C05	19.47124398	AX001	HSC	HSC	blood	63	1321	1107	1337.688424	29	48.9033606	1129.06646158327	40.7303549772477	1786.5
BMH1_plate_20181119_C06	18.93839273	AX001	HSC	HSC	blood	63	1321	1068	1317.475113	36	57.17211815	1093.19036439427	48.5928834620991	1930
BMH1_plate_20181119_D01	17.49108069	AX001	HSC	HSC	blood	63	1321	1127	1432.471485	26	50.76967348	1162.85550711321	41.1092808128856	1717.3
BMH1_plate_20181119_D02	16.46725822	AX001	HSC	HSC	blood	63	1321	1033	1382.900006	29	56.4541545	1078.82069964896	46.0541094447552	1526.8
BMH1_plate_20181119_D03	21.04757718	AX001	HSC	HSC	blood	63	1321	1019	1199.273555	36	52.3168534	1033.75837149789	45.3637349195445	2445.3
BMH1_plate_20181119_D04	26.16473315	AX001	HSC	HSC	blood	63	1321	1070	1129.433081	53	59.2256031	1073.08959243571	56.2916989138398	2603.1
BMH1_plate_20181119_D05	20.06230052	AX001	HSC	HSC	blood	63	1321	1126	1336.912276	38	56.5298213	1145.01595812356	48.8114387543964	2221.3
BMH1_plate_20181119_E01	19.32982422	AX001	HSC	HSC	blood	63	1321	1094	1329.58388	37	57.23724473	1116.85906909684	48.9560643225702	1949.1
BMH1_plate_20181119_E02	17.97351572	AX001	HSC	HSC	blood	63	1321	798	1083.960985	31	54.54536838	829.904768608811	45.2412617872393	1697.4
BMH1_plate_20181119_E03	26.36085894	AX001	HSC	HSC	blood	63	1321	1258	1313.851264	51	56.88154864	1260.8581423462	54.1004745324671	2284
BMH1_plate_20181119_E04	17.56348634	AX001	HSC	HSC	blood	63	1321	1032	1334.487069	28	52.58429237	1067.23462232311	42.9770806070647	1728
BMH1_plate_20181119_E05	11.77832296	AX001	HSC	HSC	blood	63	1321	846	1463.443277	17	58.38931823	983.09000261604	45.0384172826052	1652.1
BMH1_plate_20181119_F01	17.47541217	AX001	HSC	HSC	blood	63	1321	1055	1361.11999	19	43.8098679	1090.99122006001	34.1379805481896	1972
BMH1_plate_20181119_F02	18.74616931	AX001	HSC	HSC	blood	63	1321	947	1203.484583	24	45.63704743	973.413336128388	36.9122281381575	1583.5
BMH1_plate_20181119_F03	17.46275643	AX001	HSC	HSC	blood	63	1321	1035	1341.644486	41	65.84235322	1071.10118971369	56.1611851859911	1516.8
BMH1_plate_20181119_F04	17.6698057	AX001	HSC	HSC	blood	63	1321	984	1282.141064	29	53.31312821	1018.34121061736	43.7841985133019	1727.8
BMH1_plate_20181119_F05	21.026592	AX001	HSC	HSC	blood	63	1321	1112	1292.897228	32	48.36300961	1126.83948042007	41.3935133793147	1787.1
BMH1_plate_20181119_G01	13.25408957	AX001	HSC	HSC	blood	63	1321	845	1365.33657	19	55.69487375	942.426208536485	43.1749393251468	1584.2
BMH1_plate_20181119_G02	23.00644602	AX001	HSC	HSC	blood	63	1321	997	1124.112534	37	49.1878195	1005.66120726162	43.7726533252757	1815.4
BMH1_plate_20181119_G03	22.28398972	AX001	HSC	HSC	blood	63	1321	1060	1205.599243	45	58.67006904	1070.60160146803	52.6861269780652	2190.8
