colony	meandp	Donor	CellType	Cell.type2	Tissue	Age	Project	Nmut	Nmut_adj_as	Nmut_indel	Nmut_adj_as_indel	Nmut_hsc_as	Nmut_hsc_as_indel
BMH1_plate_20181119_A01	25.87435127	AX001	HSC	HSC	blood	63	1321	1108	1172.857954	40	46.7403999	1111.45176897886	43.5798160575173
BMH1_plate_20181119_A02	15.40895562	AX001	HSC	HSC	blood	63	1321	992	1392.504593	28	58.3569531	1050.87007246114	47.2205325005666
BMH1_plate_20181119_A03	22.90185892	AX001	HSC	HSC	blood	63	1321	1146	1275.712352	42	54.39954009	1154.92279520533	48.9019772996785
BMH1_plate_20181119_A04	24.80502616	AX001	HSC	HSC	blood	63	1321	1058	1144.149629	41	49.6929012	1063.01162192049	45.6941425228941
BMH1_plate_20181119_A05	17.18131905	AX001	HSC	HSC	blood	63	1321	922	1240.469182	33	58.56936045	960.630083571098	48.682683902405
BMH1_plate_20181119_A06	19.4966684	AX001	HSC	HSC	blood	63	1321	1169	1398.815157	40	59.8435525	1190.92664860529	51.6900202737095
BMH1_plate_20181119_B01	17.38871582	AX001	HSC	HSC	blood	63	1321	934	1243.72531	19	44.03275552	970.750903415585	34.2973601435201
BMH1_plate_20181119_B02	16.8632801	AX001	HSC	HSC	blood	63	1321	1006	1338.210331	33	59.40164723	1047.68926645807	49.2848318853717
BMH1_plate_20181119_B03	18.21009679	AX001	HSC	HSC	blood	63	1321	1058	1334.709056	41	63.95426035	1088.11990204224	54.8264597969812
BMH1_plate_20181119_B04	19.37307857	AX001	HSC	HSC	blood	63	1321	1065	1299.079692	35	55.13490523	1087.61393345553	46.8867849087869
BMH1_plate_20181119_B05	16.78456743	AX001	HSC	HSC	blood	63	1321	1104	1439.674528	29	55.60940861	1146.48111752789	45.4359956713154
BMH1_plate_20181119_B06	21.08387991	AX001	HSC	HSC	blood	63	1321	1084	1263.197508	41	57.23710439	1098.61896641948	50.3123255289961
BMH1_plate_20181119_C01	19.97782291	AX001	HSC	HSC	blood	63	1321	984	1197.672546	43	61.72399148	1003.4272890911	53.9403996969014
BMH1_plate_20181119_C02	20.24883546	AX001	HSC	HSC	blood	63	1321	1085	1289.893803	39	57.10358477	1103.13517246769	49.529438980959
BMH1_plate_20181119_C03	15.33375438	AX001	HSC	HSC	blood	63	1321	968	1372.293998	17	47.56832752	1027.92216545509	36.380833380264
BMH1_plate_20181119_C04	20.04389374	AX001	HSC	HSC	blood	63	1321	990	1201.511864	33	51.57206877	1009.10491244319	43.8394715611647
BMH1_plate_20181119_C05	19.47124398	AX001	HSC	HSC	blood	63	1321	1107	1337.688424	29	48.9033606	1129.06646158327	40.7303549772477
BMH1_plate_20181119_C06	18.93839273	AX001	HSC	HSC	blood	63	1321	1068	1317.475113	36	57.17211815	1093.19036439427	48.5928834620991
